LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,E34,Successfully started service 'sparkExecutorActorSystem' on port <*>.,"['5', '5', '9', '0', '4']"
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,E7,Created local directory at <*>,"['/', 'o', 'p', 't', '/', 'h', 'd', 'f', 's', '/', 'n', 'o', 'd', 'e', 'm', 'a', 'n', 'a', 'g', 'e', 'r', '/', 'u', 's', 'e', 'r', 'c', 'a', 'c', 'h', 'e', '/', 'c', 'u', 'r', 'i', '/', 'a', 'p', 'p', 'c', 'a', 'c', 'h', 'e', '/', 'a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n', '_', '1', '4', '8', '5', '2', '4', '8', '6', '4', '9', '2', '5', '3', '_', '0', '1', '4', '7', '/', 'b', 'l', 'o', 'c', 'k', 'm', 'g', 'r', '-', '7', '0', '2', '9', '3', 'f', '7', '2', '-', '8', '4', '4', 'a', '-', '4', 'b', '3', '9', '-', '9', 'a', 'd', '6', '-', 'f', 'b', '0', 'a', 'd', '7', 'e', '3', '6', '4', 'e', '4']"
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,"['1', '7', '.', '7']"
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,E6,Connecting to driver: spark://<*>,"['C', 'o', 'a', 'r', 's', 'e', 'G', 'r', 'a', 'i', 'n', 'e', 'd', 'S', 'c', 'h', 'e', 'd', 'u', 'l', 'e', 'r', '@', '1', '0', '.', '1', '0', '.', '3', '4', '.', '1', '1', ':', '4', '8', '0', '6', '9']"
15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,E32,Successfully registered with driver,"['S', 'u', 'c', 'c', 'e', 's', 's', 'f', 'u', 'l', 'l', 'y', ' ', 'r', 'e', 'g', 'i', 's', 't', 'e', 'r', 'e', 'd', ' ', 'w', 'i', 't', 'h', ' ', 'd', 'r', 'i', 'v', 'e', 'r']"
16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,E30,Starting executor ID <*> on host <*>,"['5', 'mesos-slave-07']"
17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,E33,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,"['4', '0', '9', '8', '4']"
18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,E27,Server created on <*>,"['4', '0', '9', '8', '4']"
19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,E36,Trying to register BlockManager,"['T', 'r', 'y', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'r', 'e', 'g', 'i', 's', 't', 'e', 'r', ' ', 'B', 'l', 'o', 'c', 'k', 'M', 'a', 'n', 'a', 'g', 'e', 'r']"
20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,E21,Registered BlockManager,"['R', 'e', 'g', 'i', 's', 't', 'e', 'r', 'e', 'd', ' ', 'B', 'l', 'o', 'c', 'k', 'M', 'a', 'n', 'a', 'g', 'e', 'r']"
21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,E11,Got assigned task <*>,['0']
22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,E11,Got assigned task <*>,['1']
23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,E11,Got assigned task <*>,['2']
24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,E11,Got assigned task <*>,['3']
25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),E24,Running task <*> in stage <*> (TID <*>),"['0.0', '0.0', '0']"
26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),E24,Running task <*> in stage <*> (TID <*>),"['2.0', '0.0', '2']"
27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),E24,Running task <*> in stage <*> (TID <*>),"['1.0', '0.0', '1']"
28,17/06/09,20:10:45,INFO,executor.Executor,Running task 3.0 in stage 0.0 (TID 3),E24,Running task <*> in stage <*> (TID <*>),"['3.0', '0.0', '3']"
29,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 4,E11,Got assigned task <*>,['4']
30,17/06/09,20:10:45,INFO,executor.Executor,Running task 4.0 in stage 0.0 (TID 4),E24,Running task <*> in stage <*> (TID <*>),"['4.0', '0.0', '4']"
31,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 9,E29,Started reading broadcast variable <*>,['9']
32,17/06/09,20:10:45,INFO,storage.MemoryStore,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['broadcast_9_piece0', '5.2 KB', '5.2 KB']"
33,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 9 took 160 ms,E20,Reading broadcast variable <*> took <*> ms,"['9', '160']"
34,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","['broadcast_9', '8.8 KB', '14.0 KB']"
35,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_1 not found, computing it",E19,"Partition <*> not found, computing it","['r', 'd', 'd', '_', '2', '_', '1']"
36,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_3 not found, computing it",E19,"Partition <*> not found, computing it","['r', 'd', 'd', '_', '2', '_', '3']"
37,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_0 not found, computing it",E19,"Partition <*> not found, computing it","['r', 'd', 'd', '_', '2', '_', '0']"
38,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_2 not found, computing it",E19,"Partition <*> not found, computing it","['r', 'd', 'd', '_', '2', '_', '2']"
39,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_4 not found, computing it",E19,"Partition <*> not found, computing it","['r', 'd', 'd', '_', '2', '_', '4']"
40,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,E12,Input split: hdfs://<*>,"['1', '0', '.', '1', '0', '.', '3', '4', '.', '1', '1', ':', '9', '0', '0', '0', '/', 'p', 'j', 'h', 'e', '/', 'l', 'o', 'g', 's', '/', '2', 'k', 'S', 'O', 'S', 'P', '.', 'l', 'o', 'g', ':', '2', '1', '8', '7', '6', '+', '7', '2', '9', '2']"
41,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,E12,Input split: hdfs://<*>,"['1', '0', '.', '1', '0', '.', '3', '4', '.', '1', '1', ':', '9', '0', '0', '0', '/', 'p', 'j', 'h', 'e', '/', 'l', 'o', 'g', 's', '/', '2', 'k', 'S', 'O', 'S', 'P', '.', 'l', 'o', 'g', ':', '1', '4', '5', '8', '4', '+', '7', '2', '9', '2']"
42,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,E12,Input split: hdfs://<*>,"['1', '0', '.', '1', '0', '.', '3', '4', '.', '1', '1', ':', '9', '0', '0', '0', '/', 'p', 'j', 'h', 'e', '/', 'l', 'o', 'g', 's', '/', '2', 'k', 'S', 'O', 'S', 'P', '.', 'l', 'o', 'g', ':', '0', '+', '7', '2', '9', '2']"
43,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,E12,Input split: hdfs://<*>,"['1', '0', '.', '1', '0', '.', '3', '4', '.', '1', '1', ':', '9', '0', '0', '0', '/', 'p', 'j', 'h', 'e', '/', 'l', 'o', 'g', 's', '/', '2', 'k', 'S', 'O', 'S', 'P', '.', 'l', 'o', 'g', ':', '7', '2', '9', '2', '+', '7', '2', '9', '2']"
44,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,E12,Input split: hdfs://<*>,"['1', '0', '.', '1', '0', '.', '3', '4', '.', '1', '1', ':', '9', '0', '0', '0', '/', 'p', 'j', 'h', 'e', '/', 'l', 'o', 'g', 's', '/', '2', 'k', 'S', 'O', 'S', 'P', '.', 'l', 'o', 'g', ':', '2', '9', '1', '6', '8', '+', '7', '2', '9', '2']"
45,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 8,E29,Started reading broadcast variable <*>,['8']
46,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['broadcast_8_piece0', '21.4 KB', '35.4 KB']"
47,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 8 took 19 ms,E20,Reading broadcast variable <*> took <*> ms,"['8', '19']"
48,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","['broadcast_8', '281.6 KB', '317.0 KB']"
49,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id","['m', 'a', 'p', 'r', 'e', 'd', '.', 't', 'i', 'p', '.', 'i', 'd', ' ', 'i', 's', ' ', 'd', 'e', 'p', 'r', 'e', 'c', 'a', 't', 'e', 'd', '.', ' ', 'I', 'n', 's', 't', 'e', 'a', 'd', ',', ' ', 'u', 's', 'e', ' ', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', '.', 't', 'a', 's', 'k', '.', 'i', 'd']"
50,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id","['m', 'a', 'p', 'r', 'e', 'd', '.', 't', 'a', 's', 'k', '.', 'i', 'd', ' ', 'i', 's', ' ', 'd', 'e', 'p', 'r', 'e', 'c', 'a', 't', 'e', 'd', '.', ' ', 'I', 'n', 's', 't', 'e', 'a', 'd', ',', ' ', 'u', 's', 'e', ' ', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', '.', 't', 'a', 's', 'k', '.', 'a', 't', 't', 'e', 'm', 'p', 't', '.', 'i', 'd']"
51,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","['m', 'a', 'p', 'r', 'e', 'd', '.', 't', 'a', 's', 'k', '.', 'i', 's', '.', 'm', 'a', 'p', ' ', 'i', 's', ' ', 'd', 'e', 'p', 'r', 'e', 'c', 'a', 't', 'e', 'd', '.', ' ', 'I', 'n', 's', 't', 'e', 'a', 'd', ',', ' ', 'u', 's', 'e', ' ', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', '.', 't', 'a', 's', 'k', '.', 'i', 's', 'm', 'a', 'p']"
52,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,"mapred.job.id is deprecated. Instead, use mapreduce.job.id","['m', 'a', 'p', 'r', 'e', 'd', '.', 'j', 'o', 'b', '.', 'i', 'd', ' ', 'i', 's', ' ', 'd', 'e', 'p', 'r', 'e', 'c', 'a', 't', 'e', 'd', '.', ' ', 'I', 'n', 's', 't', 'e', 'a', 'd', ',', ' ', 'u', 's', 'e', ' ', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', '.', 'j', 'o', 'b', '.', 'i', 'd']"
53,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition","['m', 'a', 'p', 'r', 'e', 'd', '.', 't', 'a', 's', 'k', '.', 'p', 'a', 'r', 't', 'i', 't', 'i', 'o', 'n', ' ', 'i', 's', ' ', 'd', 'e', 'p', 'r', 'e', 'c', 'a', 't', 'e', 'd', '.', ' ', 'I', 'n', 's', 't', 'e', 'a', 'd', ',', ' ', 'u', 's', 'e', ' ', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', '.', 't', 'a', 's', 'k', '.', 'p', 'a', 'r', 't', 'i', 't', 'i', 'o', 'n']"
54,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 0,E29,Started reading broadcast variable <*>,['0']
55,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['broadcast_0_piece0', '93.0 B', '317.1 KB']"
56,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 0 took 21 ms,E20,Reading broadcast variable <*> took <*> ms,"['0', '21']"
57,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","['broadcast_0', '384.0 B', '317.5 KB']"
58,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 4,E29,Started reading broadcast variable <*>,['4']
59,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['broadcast_4_piece0', '95.0 B', '317.6 KB']"
60,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 4 took 18 ms,E20,Reading broadcast variable <*> took <*> ms,"['4', '18']"
61,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","['broadcast_4', '384.0 B', '318.0 KB']"
62,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 3,E29,Started reading broadcast variable <*>,['3']
63,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['broadcast_3_piece0', '152.0 B', '318.1 KB']"
64,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 3 took 17 ms,E20,Reading broadcast variable <*> took <*> ms,"['3', '17']"
65,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","['broadcast_3', '384.0 B', '318.5 KB']"
66,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 1,E29,Started reading broadcast variable <*>,['1']
67,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['broadcast_1_piece0', '107.0 B', '318.6 KB']"
68,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 1 took 16 ms,E20,Reading broadcast variable <*> took <*> ms,"['1', '16']"
69,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","['broadcast_1', '384.0 B', '319.0 KB']"
70,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 2,E29,Started reading broadcast variable <*>,['2']
71,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 319.0 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['broadcast_2_piece0', '93.0 B', '319.0 KB']"
72,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 2 took 16 ms,E20,Reading broadcast variable <*> took <*> ms,"['2', '16']"
73,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","['broadcast_2', '384.0 B', '319.4 KB']"
74,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1072, boot = 856, init = 210, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['1072', '856', '210', '6']"
75,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1114, boot = 885, init = 223, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['1114', '885', '223', '6']"
76,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1074, boot = 869, init = 199, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['1074', '869', '199', '6']"
77,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1078, boot = 851, init = 219, finish = 8",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['1078', '851', '219', '8']"
78,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1077, boot = 865, init = 206, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['1077', '865', '206', '6']"
79,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['rdd_2_2', '850.0 B', '320.3 KB']"
80,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['rdd_2_3', '930.0 B', '321.2 KB']"
81,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['rdd_2_1', '935.0 B', '322.1 KB']"
82,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['rdd_2_0', '913.0 B', '323.0 KB']"
83,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","['rdd_2_4', '890.0 B', '323.8 KB']"
84,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 38, boot = 11, init = 27, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['38', '11', '27', '0']"
85,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 42, boot = 12, init = 30, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '12', '30', '0']"
86,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 41, boot = 15, init = 26, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '15', '26', '0']"
87,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 40, boot = 7, init = 33, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '7', '33', '0']"
88,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 42, boot = 13, init = 28, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '13', '28', '1']"
89,17/06/09,20:10:48,INFO,executor.Executor,Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,"['3.0', '0.0', '3', '2703']"
90,17/06/09,20:10:48,INFO,executor.Executor,Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,"['1.0', '0.0', '1', '2703']"
91,17/06/09,20:10:48,INFO,executor.Executor,Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,"['2.0', '0.0', '2', '2703']"
92,17/06/09,20:10:48,INFO,executor.Executor,Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,"['4.0', '0.0', '4', '2703']"
93,17/06/09,20:10:48,INFO,executor.Executor,Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,"['0.0', '0.0', '0', '2703']"
94,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 42,E11,Got assigned task <*>,"['4', '2']"
95,17/06/09,20:10:52,INFO,executor.Executor,Running task 0.0 in stage 1.0 (TID 42),E24,Running task <*> in stage <*> (TID <*>),"['0.0', '1.0', '42']"
96,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 56,E11,Got assigned task <*>,"['5', '6']"
97,17/06/09,20:10:52,INFO,executor.Executor,Running task 1.0 in stage 1.0 (TID 56),E24,Running task <*> in stage <*> (TID <*>),"['1.0', '1.0', '56']"
