LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
19,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6741', '9']"
20,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6740 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6740', '7']"
21,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6737 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6737', '8']"
22,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
23,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
24,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
25,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
26,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
27,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
28,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6748 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6748', '6']"
29,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6744 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6744', '10']"
30,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6745 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6745', '8']"
31,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
32,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
33,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
34,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
35,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6750 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6750', '7']"
36,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6751 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6751', '9']"
37,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6752 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6752', '10']"
38,Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
39,Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
40,Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
41,Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
42,Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6754 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6754', '8']"
43,Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6755 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6755', '6']"
44,Sun Dec 04 04:53:40 2005,notice,jk2_init() Found child 6756 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6756', '7']"
45,Sun Dec 04 04:53:51 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
46,Sun Dec 04 04:53:54 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
47,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6763 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6763', '10']"
48,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6766 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6766', '6']"
49,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6767 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6767', '7']"
50,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6765 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6765', '8']"
51,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
52,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
53,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
54,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
55,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
56,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
57,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
58,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
59,Sun Dec 04 04:54:20 2005,notice,jk2_init() Found child 6768 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6768', '9']"
60,Sun Dec 04 04:54:20 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
61,Sun Dec 04 04:54:20 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
62,Sun Dec 04 04:56:52 2005,notice,jk2_init() Found child 8527 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8527', '10']"
63,Sun Dec 04 04:56:52 2005,notice,jk2_init() Found child 8533 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8533', '8']"
64,Sun Dec 04 04:56:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
65,Sun Dec 04 04:56:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
66,Sun Dec 04 04:56:59 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
67,Sun Dec 04 04:57:00 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
68,Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8536 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8536', '6']"
69,Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8539 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8539', '7']"
70,Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
71,Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
72,Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
73,Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
74,Sun Dec 04 04:57:49 2005,notice,jk2_init() Found child 8541 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8541', '9']"
75,Sun Dec 04 04:58:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
76,Sun Dec 04 04:58:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
77,Sun Dec 04 04:58:45 2005,notice,jk2_init() Found child 8547 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8547', '10']"
78,Sun Dec 04 04:58:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
79,Sun Dec 04 04:58:58 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
80,Sun Dec 04 04:59:28 2005,notice,jk2_init() Found child 8554 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8554', '6']"
81,Sun Dec 04 04:59:27 2005,notice,jk2_init() Found child 8553 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8553', '8']"
82,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
83,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
84,Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
85,Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
86,Sun Dec 04 05:00:03 2005,notice,jk2_init() Found child 8560 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8560', '7']"
87,Sun Dec 04 05:00:09 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
88,Sun Dec 04 05:00:09 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
89,Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8565 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8565', '9']"
90,Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8573 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8573', '10']"
91,Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
92,Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
93,Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
94,Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
95,Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8584 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8584', '7']"
96,Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8587 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8587', '9']"
97,Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8603 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8603', '10']"
98,Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8605 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8605', '8']"
99,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8764 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8764', '10']"
100,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8765 in scoreboard slot 11,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8765', '11']"
101,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8763 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8763', '9']"
102,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8744 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8744', '8']"
103,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8743 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8743', '7']"
104,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8738 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8738', '6']"
105,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8766 in scoreboard slot 12,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['8766', '12']"
106,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
107,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
108,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
109,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
110,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
111,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
112,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
113,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
114,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
115,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,['7']
116,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
117,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
118,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
119,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
120,Sun Dec 04 05:11:51 2005,notice,jk2_init() Found child 25792 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['25792', '6']"
121,Sun Dec 04 05:12:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
122,Sun Dec 04 05:12:10 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
