LineId,Time,Program,Content,EventId,EventTemplate,ParameterList
35,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 428 bytes sent, 5365 bytes (5.23 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '428 bytes sent', '5365 bytes (5.23 KB) received', '<1 sec']"
36,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
37,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
38,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '0 bytes sent', '0 bytes received', '<1 sec']"
39,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1268 bytes (1.23 KB) sent, 6274 bytes (6.12 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1268 bytes (1.23 KB) sent', '6274 bytes (6.12 KB) received', '<1 sec']"
40,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 845 bytes sent, 12076 bytes (11.7 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '845 bytes sent', '12076 bytes (11.7 KB) received', '<1 sec']"
41,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
42,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
43,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
44,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
45,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
46,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
47,10.30 16:49:11,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 431 bytes sent, 7896 bytes (7.71 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '431 bytes sent', '7896 bytes (7.71 KB) received', '<1 sec']"
48,10.30 16:49:11,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 431 bytes sent, 9780 bytes (9.55 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '431 bytes sent', '9780 bytes (9.55 KB) received', '<1 sec']"
49,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
50,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
51,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
52,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1590 bytes (1.55 KB) sent, 472 bytes received, lifetime 00:01",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1590 bytes (1.55 KB) sent', '472 bytes received', '00:01']"
53,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
54,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 416 bytes sent, 10670 bytes (10.4 KB) received, lifetime 00:01",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '416 bytes sent', '10670 bytes (10.4 KB) received', '00:01']"
55,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '0 bytes sent', '0 bytes received', '<1 sec']"
56,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
57,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1327 bytes (1.29 KB) sent, 3250 bytes (3.17 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1327 bytes (1.29 KB) sent', '3250 bytes (3.17 KB) received', '<1 sec']"
58,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
59,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1107 bytes (1.08 KB) sent, 29322 bytes (28.6 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1107 bytes (1.08 KB) sent', '29322 bytes (28.6 KB) received', '<1 sec']"
60,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
61,10.30 16:49:15,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
62,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:17",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '0 bytes sent', '0 bytes received', '00:17']"
63,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
64,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
65,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
66,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
67,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
68,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1133 bytes (1.10 KB) sent, 11393 bytes (11.1 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1133 bytes (1.10 KB) sent', '11393 bytes (11.1 KB) received', '<1 sec']"
69,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
70,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 483 bytes sent, 342 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '483 bytes sent', '342 bytes received', '<1 sec']"
71,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1210 bytes (1.18 KB) sent, 366 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1210 bytes (1.18 KB) sent', '366 bytes received', '<1 sec']"
72,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
73,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '0 bytes sent', '0 bytes received', '<1 sec']"
74,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 697 bytes sent, 324 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '697 bytes sent', '324 bytes received', '<1 sec']"
75,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 704 bytes sent, 2476 bytes (2.41 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '704 bytes sent', '2476 bytes (2.41 KB) received', '<1 sec']"
76,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 7829 bytes (7.64 KB) sent, 578548 bytes (564 KB) received, lifetime 00:18",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '7829 bytes (7.64 KB) sent', '578548 bytes (564 KB) received', '00:18']"
77,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 3425 bytes (3.34 KB) sent, 212164 bytes (207 KB) received, lifetime 00:18",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '3425 bytes (3.34 KB) sent', '212164 bytes (207 KB) received', '00:18']"
78,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '0 bytes sent', '0 bytes received', '<1 sec']"
79,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
80,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
81,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
82,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
83,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
84,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 934 bytes sent, 5869 bytes (5.73 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '934 bytes sent', '5869 bytes (5.73 KB) received', '<1 sec']"
85,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
86,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1325 bytes (1.29 KB) sent, 514 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1325 bytes (1.29 KB) sent', '514 bytes received', '<1 sec']"
87,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1293 bytes (1.26 KB) sent, 2439 bytes (2.38 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1293 bytes (1.26 KB) sent', '2439 bytes (2.38 KB) received', '<1 sec']"
88,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
