LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,ParameterList
11,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.commit.CommitterEventType', 'v2.app.commit.CommitterEventHandler']"
12,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.speculate.Speculator$EventType', 'v2.app.MRAppMaster$SpeculatorEventDispatcher']"
13,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.rm.ContainerAllocator$EventType', 'v2.app.MRAppMaster$ContainerAllocatorRouter']"
14,2015-10-18,"18:01:50,588",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.launcher.ContainerLauncher$EventType', 'v2.app.MRAppMaster$ContainerLauncherRouter']"
15,2015-10-18,"18:01:50,634",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>:<*>],"['msra-sa-41', '9000']"
16,2015-10-18,"18:01:50,666",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>:<*>],"['msra-sa-41', '9000']"
17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>:<*>],"['msra-sa-41', '9000']"
18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,E37,Emitting job history data to the timeline server is not enabled,"['E', 'm', 'i', 't', 't', 'i', 'n', 'g', ' ', 'j', 'o', 'b', ' ', 'h', 'i', 's', 't', 'o', 'r', 'y', ' ', 'd', 'a', 't', 'a', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 't', 'i', 'm', 'e', 'l', 'i', 'n', 'e', ' ', 's', 'e', 'r', 'v', 'e', 'r', ' ', 'i', 's', ' ', 'n', 'o', 't', ' ', 'e', 'n', 'a', 'b', 'l', 'e', 'd']"
19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.job.event.JobFinishEvent$Type', 'v2.app.MRAppMaster$JobFinishEventHandler']"
20,2015-10-18,"18:01:51,197",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,E63,loaded properties from hadoop-metrics2.properties,"['l', 'o', 'a', 'd', 'e', 'd', ' ', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's', ' ', 'f', 'r', 'o', 'm', ' ', 'h', 'a', 'd', 'o', 'o', 'p', '-', 'm', 'e', 't', 'r', 'i', 'c', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
21,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,E92,Scheduled snapshot period at <*> second(s).,"['1', '0']"
22,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,E69,MRAppMaster metrics system started,"['M', 'R', 'A', 'p', 'p', 'M', 'a', 's', 't', 'e', 'r', ' ', 'm', 'e', 't', 'r', 'i', 'c', 's', ' ', 's', 'y', 's', 't', 'e', 'm', ' ', 's', 't', 'a', 'r', 't', 'e', 'd']"
23,2015-10-18,"18:01:51,322",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,E7,Adding job token for <*> to jobTokenSecretManager,"['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0']"
24,2015-10-18,"18:01:51,619",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,E71,Not uberizing <*> because: not enabled; too many maps; too much input;,"['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0']"
25,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,E48,Input size for job <*> = <*>. Number of splits = <*>,"['job_1445144423722_0020', '1256521728', '10']"
26,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445144423722_0020 = 1,E73,Number of reduces for job <*> = <*>,"['job_1445144423722_0020', '1']"
27,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from NEW to INITED,E55,<*> Transitioned from NEW to INITED,"['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', 'J', 'o', 'b']"
28,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",E68,"MRAppMaster launching normal, non-uberized, multi-container job <*>.","['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0']"
29,2015-10-18,"18:01:51,713",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,"['U', 's', 'i', 'n', 'g', ' ', 'c', 'a', 'l', 'l', 'Q', 'u', 'e', 'u', 'e', ' ', 'c', 'l', 'a', 's', 's', ' ', 'j', 'a', 'v', 'a', '.', 'u', 't', 'i', 'l', '.', 'c', 'o', 'n', 'c', 'u', 'r', 'r', 'e', 'n', 't', '.', 'L', 'i', 'n', 'k', 'e', 'd', 'B', 'l', 'o', 'c', 'k', 'i', 'n', 'g', 'Q', 'u', 'e', 'u', 'e']"
30,2015-10-18,"18:01:51,775",INFO,Socket Reader #1 for port 62260,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62260,E98,Starting Socket Reader #<*> for port <*>,"['1', '62260']"
31,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,"['A', 'd', 'd', 'i', 'n', 'g', ' ', 'p', 'r', 'o', 't', 'o', 'c', 'o', 'l', ' ', 'o', 'r', 'g', '.', 'a', 'p', 'a', 'c', 'h', 'e', '.', 'h', 'a', 'd', 'o', 'o', 'p', '.', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', '.', 'v', '2', '.', 'a', 'p', 'i', '.', 'M', 'R', 'C', 'l', 'i', 'e', 'n', 't', 'P', 'r', 'o', 't', 'o', 'c', 'o', 'l', 'P', 'B', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 's', 'e', 'r', 'v', 'e', 'r']"
32,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.mapreduce.v2.app.client.MRClientService,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,E49,Instantiated MRClientService at MININT-<*>/<*>:<*>,"['FNANLI5.fareast.corp.microsoft.com', '10.86.169.121', '62260']"
33,2015-10-18,"18:01:51,806",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,E51,IPC Server Responder: starting,"['I', 'P', 'C', ' ', 'S', 'e', 'r', 'v', 'e', 'r', ' ', 'R', 'e', 's', 'p', 'o', 'n', 'd', 'e', 'r', ':', ' ', 's', 't', 'a', 'r', 't', 'i', 'n', 'g']"
34,2015-10-18,"18:01:51,806",INFO,IPC Server listener on 62260,org.apache.hadoop.ipc.Server,IPC Server listener on 62260: starting,E50,IPC Server listener on <*>: starting,"['6', '2', '2', '6', '0']"
35,2015-10-18,"18:01:51,885",INFO,main,org.mortbay.log,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,E64,Logging to <*>(org.mortbay.log) via <*>,"['org.slf4j.impl.Log4jLoggerAdapter', 'org.mortbay.log.Slf4jLog']"
36,2015-10-18,"18:01:51,900",INFO,main,org.apache.hadoop.http.HttpRequestLog,Http request log for http.requests.mapreduce is not defined,E47,Http request log for http.requests.mapreduce is not defined,"['H', 't', 't', 'p', ' ', 'r', 'e', 'q', 'u', 'e', 's', 't', ' ', 'l', 'o', 'g', ' ', 'f', 'o', 'r', ' ', 'h', 't', 't', 'p', '.', 'r', 'e', 'q', 'u', 'e', 's', 't', 's', '.', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', ' ', 'i', 's', ' ', 'n', 'o', 't', ' ', 'd', 'e', 'f', 'i', 'n', 'e', 'd']"
37,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),"['A', 'd', 'd', 'e', 'd', ' ', 'g', 'l', 'o', 'b', 'a', 'l', ' ', 'f', 'i', 'l', 't', 'e', 'r', ' ', ""'"", 's', 'a', 'f', 'e', 't', 'y', ""'"", ' ', '(', 'c', 'l', 'a', 's', 's', '=', 'o', 'r', 'g', '.', 'a', 'p', 'a', 'c', 'h', 'e', '.', 'h', 'a', 'd', 'o', 'o', 'p', '.', 'h', 't', 't', 'p', '.', 'H', 't', 't', 'p', 'S', 'e', 'r', 'v', 'e', 'r', '2', '$', 'Q', 'u', 'o', 't', 'i', 'n', 'g', 'I', 'n', 'p', 'u', 't', 'F', 'i', 'l', 't', 'e', 'r', ')']"
38,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,"['A', 'd', 'd', 'e', 'd', ' ', 'f', 'i', 'l', 't', 'e', 'r', ' ', 'A', 'M', '_', 'P', 'R', 'O', 'X', 'Y', '_', 'F', 'I', 'L', 'T', 'E', 'R', ' ', '(', 'c', 'l', 'a', 's', 's', '=', 'o', 'r', 'g', '.', 'a', 'p', 'a', 'c', 'h', 'e', '.', 'h', 'a', 'd', 'o', 'o', 'p', '.', 'y', 'a', 'r', 'n', '.', 's', 'e', 'r', 'v', 'e', 'r', '.', 'w', 'e', 'b', 'p', 'r', 'o', 'x', 'y', '.', 'a', 'm', 'f', 'i', 'l', 't', 'e', 'r', '.', 'A', 'm', 'I', 'p', 'F', 'i', 'l', 't', 'e', 'r', ')', ' ', 't', 'o', ' ', 'c', 'o', 'n', 't', 'e', 'x', 't', ' ', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e']"
39,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,"['A', 'd', 'd', 'e', 'd', ' ', 'f', 'i', 'l', 't', 'e', 'r', ' ', 'A', 'M', '_', 'P', 'R', 'O', 'X', 'Y', '_', 'F', 'I', 'L', 'T', 'E', 'R', ' ', '(', 'c', 'l', 'a', 's', 's', '=', 'o', 'r', 'g', '.', 'a', 'p', 'a', 'c', 'h', 'e', '.', 'h', 'a', 'd', 'o', 'o', 'p', '.', 'y', 'a', 'r', 'n', '.', 's', 'e', 'r', 'v', 'e', 'r', '.', 'w', 'e', 'b', 'p', 'r', 'o', 'x', 'y', '.', 'a', 'm', 'f', 'i', 'l', 't', 'e', 'r', '.', 'A', 'm', 'I', 'p', 'F', 'i', 'l', 't', 'e', 'r', ')', ' ', 't', 'o', ' ', 'c', 'o', 'n', 't', 'e', 'x', 't', ' ', 's', 't', 'a', 't', 'i', 'c']"
40,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /mapreduce/*,E8,adding path spec: <*>,"['/', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', '/', '*']"
41,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /ws/*,E8,adding path spec: <*>,"['/', 'w', 's', '/', '*']"
42,2015-10-18,"18:01:51,963",INFO,main,org.apache.hadoop.http.HttpServer2,Jetty bound to port 62267,E52,Jetty bound to port <*>,"['6', '2', '2', '6', '7']"
43,2015-10-18,"18:01:51,963",INFO,main,org.mortbay.log,jetty-6.1.26,E53,jetty-<*>,"['6', '.', '1', '.', '2', '6']"
44,2015-10-18,"18:01:52,088",INFO,main,org.mortbay.log,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,E43,Extract jar:file:<*> to <*>,"['/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce', 'C:\\Users\\msrabi\\AppData\\Local\\Temp\\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\\webapp']"
45,2015-10-18,"18:01:52,728",INFO,main,org.mortbay.log,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,E97,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,"['0.0.0.0', '62267']"
46,2015-10-18,"18:01:52,728",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Web app /mapreduce started at 62267,E113,Web app <*> started at <*>,"['/mapreduce', '62267']"
47,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Registered webapp guice modules,E88,Registered webapp guice modules,"['R', 'e', 'g', 'i', 's', 't', 'e', 'r', 'e', 'd', ' ', 'w', 'e', 'b', 'a', 'p', 'p', ' ', 'g', 'u', 'i', 'c', 'e', ' ', 'm', 'o', 'd', 'u', 'l', 'e', 's']"
48,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,"['U', 's', 'i', 'n', 'g', ' ', 'c', 'a', 'l', 'l', 'Q', 'u', 'e', 'u', 'e', ' ', 'c', 'l', 'a', 's', 's', ' ', 'j', 'a', 'v', 'a', '.', 'u', 't', 'i', 'l', '.', 'c', 'o', 'n', 'c', 'u', 'r', 'r', 'e', 'n', 't', '.', 'L', 'i', 'n', 'k', 'e', 'd', 'B', 'l', 'o', 'c', 'k', 'i', 'n', 'g', 'Q', 'u', 'e', 'u', 'e']"
49,2015-10-18,"18:01:53,447",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,JOB_CREATE job_1445144423722_0020,E57,JOB_CREATE <*>,"['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0']"
50,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,nodeBlacklistingEnabled:true,E70,nodeBlacklistingEnabled:<*>,"['t', 'r', 'u', 'e']"
51,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,maxTaskFailuresPerNode is 3,E67,maxTaskFailuresPerNode is <*>,['3']
52,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,blacklistDisablePercent is 33,E25,blacklistDisablePercent is <*>,"['3', '3']"
53,2015-10-18,"18:01:53,510",INFO,Socket Reader #1 for port 62270,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62270,E98,Starting Socket Reader #<*> for port <*>,"['1', '62270']"
54,2015-10-18,"18:01:53,510",INFO,IPC Server listener on 62270,org.apache.hadoop.ipc.Server,IPC Server listener on 62270: starting,E50,IPC Server listener on <*>: starting,"['6', '2', '2', '7', '0']"
55,2015-10-18,"18:01:53,510",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,E51,IPC Server Responder: starting,"['I', 'P', 'C', ' ', 'S', 'e', 'r', 'v', 'e', 'r', ' ', 'R', 'e', 's', 'p', 'o', 'n', 'd', 'e', 'r', ':', ' ', 's', 't', 'a', 'r', 't', 'i', 'n', 'g']"
56,2015-10-18,"18:01:53,557",INFO,main,org.apache.hadoop.yarn.client.RMProxy,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,E27,Connecting to ResourceManager at <*>/<*>:<*>,"['msra-sa-41', '10.190.173.170', '8030']"
57,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"maxContainerCapability: <memory:8192, vCores:32>",E66,"maxContainerCapability: <memory:<*>, vCores:<*>","['8192', '32>']"
58,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,queue: default,E82,queue: default,"['q', 'u', 'e', 'u', 'e', ':', ' ', 'd', 'e', 'f', 'a', 'u', 'l', 't']"
59,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Upper limit on the thread pool size is 500,E109,Upper limit on the thread pool size is <*>,"['5', '0', '0']"
60,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,yarn.client.max-cached-nodemanagers-proxies : 0,E114,yarn.client.max-cached-nodemanagers-proxies : <*>,['0']
61,2015-10-18,"18:01:53,744",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from INITED to SETUP,E54,<*> Transitioned from INITED to SETUP,"['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', 'J', 'o', 'b']"
62,2015-10-18,"18:01:53,775",INFO,CommitterEvent Processor #0,org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Processing the event EventType: JOB_SETUP,E78,Processing the event EventType: JOB_SETUP,"['P', 'r', 'o', 'c', 'e', 's', 's', 'i', 'n', 'g', ' ', 't', 'h', 'e', ' ', 'e', 'v', 'e', 'n', 't', ' ', 'E', 'v', 'e', 'n', 't', 'T', 'y', 'p', 'e', ':', ' ', 'J', 'O', 'B', '_', 'S', 'E', 'T', 'U', 'P']"
63,2015-10-18,"18:01:53,822",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,E56,<*> Transitioned from SETUP to RUNNING,"['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', 'J', 'o', 'b']"
64,2015-10-18,"18:01:53,838",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to <*>,"['MSRA-SA-39.fareast.corp.microsoft.com', '/default-rack']"
65,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to <*>,"['MSRA-SA-41.fareast.corp.microsoft.com', '/default-rack']"
66,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED,E102,<*> Task Transitioned from NEW to SCHEDULED,"['t', 'a', 's', 'k', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '0']"
67,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to <*>,"['MSRA-SA-39.fareast.corp.microsoft.com', '/default-rack']"
68,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to <*>,"['MSRA-SA-41.fareast.corp.microsoft.com', '/default-rack']"
69,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED,E102,<*> Task Transitioned from NEW to SCHEDULED,"['t', 'a', 's', 'k', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '1']"
