LineId,Time,Component,Pid,Content,EventId,EventTemplate,ParameterList
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '0', '9', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '2', '5', '5', '1', '#', '#', '2', '7', '1', '7', '4', '9', '5', '1']"
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '8', '1', '8']"
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '0', '9', ' ', '5', '0', '0', '4', ' ', '1', '5', '0', '1', '3', '2', ' ', '2', '4', '0']"
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,E42,onStandStepChanged <*>,"['3', '5', '8', '3']"
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '1', '0', '0', '0', ' ', '2', ' ', '0', ' ', '4']"
30,20171223-22:15:31:142,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7009', '548365', '8661', '12551', '27174951']"
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '1', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '2', '6', '4', '6', '#', '#', '2', '7', '1', '7', '5', '4', '6', '1']"
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '8', '6', '1']"
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '1', ' ', '5', '0', '0', '5', ' ', '1', '5', '0', '1', '7', '5', ' ', '2', '4', '0']"
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,E42,onStandStepChanged <*>,"['3', '5', '8', '4']"
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '2', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
37,20171223-22:15:32:145,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7011', '548365', '8661', '12646', '27175461']"
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '2', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '2', '7', '4', '1', '#', '#', '2', '7', '1', '7', '6', '4', '6', '4']"
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '8', '8', '2']"
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '2', ' ', '5', '0', '0', '6', ' ', '1', '5', '0', '1', '9', '7', ' ', '2', '4', '0']"
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,E42,onStandStepChanged <*>,"['3', '5', '8', '5']"
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '3', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
44,20171223-22:15:32:647,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7012', '548365', '8661', '12741', '27176464']"
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '3', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '2', '8', '3', '6', '#', '#', '2', '7', '1', '7', '6', '9', '6', '6']"
46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '0', '4']"
47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '3', ' ', '5', '0', '0', '7', ' ', '1', '5', '0', '2', '1', '8', ' ', '2', '4', '0']"
49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,E42,onStandStepChanged <*>,"['3', '5', '8', '6']"
50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '3', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
51,20171223-22:15:33:144,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7013', '548365', '8661', '12836', '27176966']"
52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '4', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '2', '9', '3', '1', '#', '#', '2', '7', '1', '7', '7', '4', '6', '3']"
53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '2', '5']"
54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '4', ' ', '5', '0', '0', '7', ' ', '1', '5', '0', '2', '3', '9', ' ', '2', '4', '0']"
56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,E42,onStandStepChanged <*>,"['3', '5', '8', '7']"
57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '4', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
58,20171223-22:15:33:643,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7014', '548365', '8661', '12931', '27177463']"
59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '5', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '3', '0', '2', '6', '#', '#', '2', '7', '1', '7', '7', '9', '6', '2']"
60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '4', '7']"
61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '5', ' ', '5', '0', '0', '8', ' ', '1', '5', '0', '2', '6', '1', ' ', '2', '4', '0']"
63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,E42,onStandStepChanged <*>,"['3', '5', '8', '8']"
64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '5', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,E40,onReceive action: android.intent.action.SCREEN_OFF,"['o', 'n', 'R', 'e', 'c', 'e', 'i', 'v', 'e', ' ', 'a', 'c', 't', 'i', 'o', 'n', ':', ' ', 'a', 'n', 'd', 'r', 'o', 'i', 'd', '.', 'i', 'n', 't', 'e', 'n', 't', '.', 'a', 'c', 't', 'i', 'o', 'n', '.', 'S', 'C', 'R', 'E', 'E', 'N', '_', 'O', 'F', 'F']"
66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,E42,onStandStepChanged <*>,"['3', '5', '8', '9']"
67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '5', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
68,20171223-22:15:35:11,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7015', '548365', '8661', '13026', '27177962']"
69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '7', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '3', '1', '2', '1', '#', '#', '2', '7', '1', '7', '9', '3', '3', '0']"
70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '8', '9']"
71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,E35,isScreenOn <*>,"['t', 'r', 'u', 'e']"
73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on",E53,"screen status unknown,think screen on","['s', 'c', 'r', 'e', 'e', 'n', ' ', 's', 't', 'a', 't', 'u', 's', ' ', 'u', 'n', 'k', 'n', 'o', 'w', 'n', ',', 't', 'h', 'i', 'n', 'k', ' ', 's', 'c', 'r', 'e', 'e', 'n', ' ', 'o', 'n']"
74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '7', ' ', '5', '0', '1', '0', ' ', '1', '5', '0', '3', '0', '4', ' ', '2', '4', '0']"
75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,E41,onReceive action: android.intent.action.SCREEN_ON,"['o', 'n', 'R', 'e', 'c', 'e', 'i', 'v', 'e', ' ', 'a', 'c', 't', 'i', 'o', 'n', ':', ' ', 'a', 'n', 'd', 'r', 'o', 'i', 'd', '.', 'i', 'n', 't', 'e', 'n', 't', '.', 'a', 'c', 't', 'i', 'o', 'n', '.', 'S', 'C', 'R', 'E', 'E', 'N', '_', 'O', 'N']"
76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E43,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,"['p', 'r', 'o', 'c', 'e', 's', 's', 'H', 'a', 'n', 'd', 'l', 'e', 'B', 'r', 'o', 'a', 'd', 'c', 'a', 's', 't', 'A', 'c', 't', 'i', 'o', 'n', ' ', 'a', 'c', 't', 'i', 'o', 'n', ':', 'a', 'n', 'd', 'r', 'o', 'i', 'd', '.', 'i', 'n', 't', 'e', 'n', 't', '.', 'a', 'c', 't', 'i', 'o', 'n', '.', 'S', 'C', 'R', 'E', 'E', 'N', '_', 'O', 'N']"
77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,E12,flush sensor data,"['f', 'l', 'u', 's', 'h', ' ', 's', 'e', 'n', 's', 'o', 'r', ' ', 'd', 'a', 't', 'a']"
78,20171223-22:15:35:98,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7017', '548365', '8661', '13121', '27179330']"
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '7', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '3', '2', '1', '6', '#', '#', '2', '7', '1', '7', '9', '4', '1', '7']"
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,E42,onStandStepChanged <*>,"['3', '5', '8', '9']"
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '8', '9']"
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '7', ' ', '5', '0', '1', '0', ' ', '1', '5', '0', '3', '0', '4', ' ', '2', '4', '0']"
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,E42,onStandStepChanged <*>,"['3', '5', '8', '9']"
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '6', '0', '0', '0', ' ', '0', ' ', '0', ' ', '4']"
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,E42,onStandStepChanged <*>,"['3', '5', '9', '0']"
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '6', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
88,20171223-22:15:35:413,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7017', '548365', '8661', '13216', '27179417']"
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '8', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '3', '3', '1', '1', '#', '#', '2', '7', '1', '7', '9', '7', '3', '2']"
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '0', '1', '1']"
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '8', ' ', '5', '0', '1', '0', ' ', '1', '5', '0', '3', '2', '5', ' ', '2', '4', '0']"
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,E42,onStandStepChanged <*>,"['3', '5', '9', '1']"
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '6', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
95,20171223-22:15:36:149,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7018', '548365', '8661', '13311', '27179732']"
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '1', '9', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '3', '4', '0', '6', '#', '#', '2', '7', '1', '8', '0', '4', '6', '8']"
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '0', '3', '2']"
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '1', '9', ' ', '5', '0', '1', '1', ' ', '1', '5', '0', '3', '4', '6', ' ', '2', '4', '0']"
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,E42,onStandStepChanged <*>,"['3', '5', '9', '2']"
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '7', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
102,20171223-22:15:36:657,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7019', '548365', '8661', '13406', '27180468']"
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '2', '0', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '3', '5', '0', '1', '#', '#', '2', '7', '1', '8', '0', '9', '7', '6']"
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '0', '5', '4']"
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
